college_name,about,address,affiliated,state,college_type,established,exam,courses,accreditations,approvals,gender,student_count,faculty_count,gender_percentage,campus_size,website_link
"Sree Balakrishna College of Arts and Science, Virudhunagar",NA,"Sree Balakrishna College of Arts and Science, Chattrapatti-Vanniampatti Road, Chattrapatti, Rajapalayam, Virudhunagar District, Pincode-626102, Tamilnadu, India","Madurai Kamaraj University, Madurai",Tamil Nadu,Private,2009,NA,"5, Degrees and , ,8, Courses",NA,NA,Co-ed,11,25,NA,"422, acres",https://www.careers360.com/colleges/sree-balakrishna-college-of-arts-and-science-virudhunagar
"Southern Academy of Maritime Studies, Thiruvallur",NA,"Southern Academy of Maritime Studies, 82, Panapakkam, Near Periyapalayam, Chennai Thirupathi Road,  Uthukottai, Taluk, Thiruvallur-District, Near Honda Factory, Chennai-601102, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1999,NA,"3, Degrees and , ,3, Courses",NA,Affiliated,Co-ed,NA,NA,NA,"10, acres",https://www.careers360.com/colleges/southern-academy-of-maritime-studies-thiruvallur
"Sree Arumugham Polytechnic College, Cuddalore",NA,"Sree Arumugham Polytechnic College, Raja Nagar, Vaithiyanathapuram, Tholudur, Pincode 606303, Cuddalore, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2009,NA,"1, Degrees and , ,4, Courses",NA,Affiliated,NA,566,47,NA,NA,https://www.careers360.com/colleges/sree-arumugham-polytechnic-college-cuddalore
"Spectrum College of Technology, Salem",NA,"Spectrum College of Technology, Ayyampudur, Kolathur (PO), Mettur Taluk, Salem Dist., Tamil Nadu-636303, India","Anna University, Chennai",Tamil Nadu,Private,2016,NA,NA,NA,Affiliated,Co-ed,NA,48,NA,NA,https://www.careers360.com/colleges/spectrum-college-of-technology-salem
"Sree Krishna College of Engineering, Vellore",NA,"Sree Krishna College of Engineering, Unai, Anaciut Post, Vellore-632101, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2010,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,233,62,NA,"10, acres",https://www.careers360.com/colleges/sree-krishna-college-of-engineering-vellore
"South Travancore Hindu College, Nagercoil",NA,"South Travancore Hindu College, Desi Vinayaga Nagar, Kottar, Nagercoil- 629002, Tamil Nadu, India","Manonmaniam Sundaranar University, Tirunelveli",Tamil Nadu,Private,1952,NA,"14, Degrees and , ,65, Courses",NA,Affiliated,Co-ed,2092,110,Male 24% and Female 76%,"26, acres",https://www.careers360.com/colleges/south-travancore-hindu-college-nagercoil
"Solamalai College of Engineering, Madurai",NA,"Solamalai College of Engineering, SV Raja Nagar, Veerapanjan, Madurai-625020, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1995,NA,"3, Degrees and , ,12, Courses",NA,Affiliated,Co-ed,388,138,NA,"10, acres",https://www.careers360.com/colleges/solamalai-college-of-engineering-madurai
"Sree Narayana Guru Polytechnic College, Coimbatore",NA,"Sree Narayana Guru Polytechnic College, 95, Sree Narayana Guru Road, Saibaba Colony, Coimbatore-641011, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1984,NA,"1, Degrees and , ,7, Courses",NA,Affiliated,Co-ed,800,60,NA,"16, acres",https://www.careers360.com/colleges/sree-narayana-guru-polytechnic-college-coimbatore
"Sree Sowdambika College of Engineering, Virudhunagar",NA,"Sree Sowdambika College of Engineering, Chettikurichi (PO), Aruppukottai, District Virudhunagar-626134, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2000,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,534,69,Male 61% and Female 39%,"37, acres",https://www.careers360.com/colleges/sree-sowdambika-college-of-engineering-virudhunagar
"Sree Vaikundar Polytechnic, Kanyakumari",NA,"Sree Vaikundar Polytechnic, Pillayar Purm, Moniketti Pottal, Mathusoothanapuram, District-Kanyakumari, Tamil Nadu-629501, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2010,NA,"1, Degrees and , ,4, Courses",NA,Affiliated,Co-ed,317,40,NA,"7, acres",https://www.careers360.com/colleges/sree-vaikundar-polytechnic-kanyakumari
"Sree Sastha College of Engineering, Chennai",NA,"Sree Sastha College Of Engineering, Sree Sastha Nagar, Chennai - Bangalore Highway, Chembarambakkam, Chennai -600123, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"1, Degrees and , ,4, Courses",NA,Affiliated,NA,335,54,NA,"10, acres",https://www.careers360.com/colleges/sree-sastha-college-of-engineering-chennai
"Sree Sastha Institute of Engineering and Technology, Chennai"," was established with an objective to create engineers and technologists. Sree Sastha Institute of Engineering and Technology is a private institute which has been approved by the AICTE, New Delhi and is affiliated with ,. This institute is ISO certified and NBA accredited. SSIET Chennai has been recognised by University Grants Commission (UGC). The campus size of the institute is spread over an area of 50 acres of land and has a total of 175 faculty members. SSIET Chennai offers a total of 27 courses at undergraduate, postgraduate and doctoral levels.","Sree Sastha Institute Of Engineering and Technology,  Sree Sastha Nagar, Chennai - Bangalore Highway, Chembarambakkam, Chennai -600123 India","Anna University, Chennai",Tamil Nadu,Private,1999,TANCET,"4, Degrees and, ,23, Courses",NAAC,Affiliated,Co-ed,477,175,Male 69% and Female 31%,"50, acres",https://www.careers360.com/colleges/sree-sastha-institute-of-engineering-and-technology-chennai
"Sree Kumaraguru Polytechnic College, Dharmapuri",NA,"Sree Kumaraguru Polytechnic College, Kumaraguru Nagar, Kokkarapatty P.R.Patty Gopinathampatty Cross Road, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2009,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,450,68,NA,"9, acres",https://www.careers360.com/colleges/sree-kumaraguru-polytechnic-college-dharmapuri
"Sree Krishna Polytechnic College, Kanyakumari",NA,"Shri Krishna Polytechnic College, Dwarka, Kalliancaud, Nagercoil, District-Kanyakumari, Pincode-629003, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1994,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,758,57,NA,"14, acres",https://www.careers360.com/colleges/sree-krishna-polytechnic-college-kanyakumari
"Sri Annai Abhirami Polytechnic College, Pudukkottai",NA,"Sri Annai Abhirami Polytechnic College, Pudukkottai To Thanjavur Road,Perungalur(Post),Pudukkottai,Pudukkottai-Dist,Pin-622203, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2010,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,270,38,NA,"5, acres",https://www.careers360.com/colleges/sri-annai-abhirami-polytechnic-college-pudukkottai
"Sri Andal Nachiyar Polytechnic College, Tuticorin",NA,"Sri Andal Nachiyar Polytechnic College, Cholapuram, Ethilappanayakkanpatty Village, Manjanayakkanpatti Panchayat, Ettayapuram Taluk 628901, Tuticorin District, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2014,NA,"1, Degrees and , ,3, Courses",NA,Affiliated,Co-ed,230,31,NA,"6, acres",https://www.careers360.com/colleges/sri-andal-nachiyar-polytechnic-college-tuticorin
"Sri Annai Polytechnic College, Vellore",NA,"Sri Annai Polytechnic College, (Vellore-Pallikonda NH) Indira Nagar, Erayankadu(via)  Sedhuvalai, Vellore DIst, Pincoe-632104, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2010,NA,NA,NA,Affiliated,NA,444,53,NA,NA,https://www.careers360.com/colleges/sri-annai-polytechnic-college-vellore
"Sri Annamalai Polytechnic College, Villupuram",NA,"Sri Annamalai Polytechnic College, Padur, Ulundurpet, Villupuram-606115, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2009,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,796,52,NA,"5, acres",https://www.careers360.com/colleges/sri-annamalai-polytechnic-college-villupuram
"Sri Aravindar Arts and Science College, Villupuram",NA,"Sri Aravindar Arts and Science College, Pondy Mailam Road, Sedarapet Post, Vanur Taluk, Villupuram District - 605111, Tamil Nadu, I","Thiruvalluvar University, Vellore",Tamil Nadu,Private,2000,NA,"7, Degrees and , ,12, Courses",NA,Affiliated,Co-ed,952,33,NA,"11, acres",https://www.careers360.com/colleges/sri-aravindar-arts-and-science-college-villupuram
"Sri Adhisankarar Polytechnic College, Irungalur",NA,"Sri Adhisankarar Polytechnic College, Near Ramarkoil, National Highways, Erangalur, Trichy-621105, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2000,NA,"1, Degrees and , ,7, Courses",NA,Affiliated,Co-ed,109,42,NA,"17, acres",https://www.careers360.com/colleges/sri-adhisankarar-polytechnic-college-irungalur
"Sri Ayyappa Polytechnic College, Cuddalore",NA,"Sri Ayyappa Polytechnic College, Aivadhugudi, Eranji Post, Veppur Taluk, Cuddalore Dist. Pincode 606305, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1997,NA,"1, Degrees and , ,3, Courses",NA,Affiliated,Co-ed,709,53,NA,"5, acres",https://www.careers360.com/colleges/sri-ayyappa-polytechnic-college-cuddalore
"Sri Aravindar Engineering College, Villupuram",NA,"Sri Aravindar Engineering College, Pondy - Mailam Road, Vanur Taluk, Akasapet, Villupuram-District, Tamil Nadu, Pincode 605111, India","Anna University, Chennai",Tamil Nadu,Private,2008,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,NA,NA,NA,NA,"30, acres",https://www.careers360.com/colleges/sri-aravindar-engineering-college-villupuram
"Sri BalaKrishna Polytechnic College, Salem",NA,"Sri BalaKrishna Polytechnic College, Opp. Salem Airport, NH-7, Kuppur, Omalur, Salem-636309, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2008,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,NA,396,50,NA,NA,https://www.careers360.com/colleges/sri-balakrishna-polytechnic-college-salem
"Sri Balaji Chockalingam Engineering College, Tiruvannamalai",NA,"Sri Balaji Chockalingam Engineering College, Irumbedu, Arani, Thiruvannamalai-District, Tamil Nadu, Pincode 632317, India","Anna University, Chennai",Tamil Nadu,Private,1999,TANCET,"4, Degrees and , ,10, Courses",NA,Affiliated,Co-ed,639,97,NA,"32, acres",https://www.careers360.com/colleges/sri-balaji-chockalingam-engineering-college-tiruvannamalai
"Sri Balaji Polytechnic College, Chennai",NA,"Sri Balaji Polytechnic College, Kolapakkam, Nearer to Vandalur Zoo, Chennai, Pincode 600048, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1995,NA,"1, Degrees and , ,7, Courses",NA,Affiliated,NA,940,72,NA,NA,https://www.careers360.com/colleges/sri-balaji-polytechnic-college-chennai
"Sri Boghar Polytechnic College, Virudhunagar",NA,"Sri Boghar Polytechnic College, Tiruchuli road, State Highway 184, Panthanenthal, Tamil Nadu-626104, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2013,NA,NA,NA,Affiliated,NA,349,48,NA,NA,https://www.careers360.com/colleges/sri-boghar-polytechnic-college-virudhunagar
"Sri Kalaimagal College of Engineering, Thiruvallur",NA,"Sri Kalaimagal College of Engineering, Kondanchery Village, Perambakkam, Madras Arakonam Road, Thiruvallur Taluk, Chennai-631402, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60, acres",https://www.careers360.com/colleges/sri-kalaimagal-college-of-engineering-thiruvallur
"Sri Jayaram Institute of Engineering and Technology, Thiruvallur",NA,"Sri Jayaram Institute of Engineering and Technology, 51N Elavur, Gummidipoondi, Chennai, Tamil Nadu-601201, India","Anna University, Chennai",Tamil Nadu,Private,2014,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,NA,247,75,NA,"13, acres",https://www.careers360.com/colleges/sri-jayaram-institute-of-engineering-and-technology-thiruvallur
"Sri Ganesh College of Arts and Science, Salem",NA,"Sri Ganesh College of Arts and Science, Kamaraj Nagar Colony, Ammapet, Salem, Tamil Nadu-636014, India","Periyar University, Salem",Tamil Nadu,Private,2004,NA,"9, Degrees and , ,25, Courses",NA,Affiliated,Co-ed,2190,63,NA,NA,https://www.careers360.com/colleges/sri-ganesh-college-of-arts-and-science-salem
"Sri Bharathi Engineering College for Women, Pudukkottai",NA,"Sri Bharathi Engineering College for Women, Kaikkuruchi, Pudukkottai, Pincode 622303, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"1, Degrees and , ,4, Courses",NA,Affiliated,NA,276,50,NA,"5, acres",https://www.careers360.com/colleges/sri-bharathi-engineering-college-for-women-pudukkottai
"Sri Krishna Arts and Science College, Coimbatore",NA,"Sri Krishna Arts and Science College Sugunapuram, Kuniamuthur PO, Coimbatore-641008, Tamil Nadu, India","Bharathiar University, Coimbatore",Tamil Nadu,Private,1997,NA,"12, Degrees and, ,60, Courses",NAAC,Affiliated,Co-ed,8236,413,Male 48% and Female 52%,"14, acres",https://www.careers360.com/colleges/sri-krishna-arts-and-science-college-coimbatore
"Sri Krishna College of Engineering, Arakkonam",NA,"Sri Krishna College of Engineering, TRS Campus, Sri Krishna Nagar, Tiruttani Road, Arakkonam, Pincade 631003, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"1, Degrees and, ,6, Courses",NA,Affiliated,Co-ed,370,80,NA,"10, acres",https://www.careers360.com/colleges/sri-krishna-college-of-engineering-arakkonam
"Sri Krishna Engineering College, Chennai",NA,"Sri Krishan Engineering College, Panapakkam, Near Padappai, Via Tambaram Chennai, Pincode 601301, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1999,NA,"3, Degrees and , ,8, Courses",NA,Affiliated,NA,170,74,NA,"8, acres",https://www.careers360.com/colleges/sri-krishna-engineering-college-chennai
"Sri Krishna Polytechnic College, Arakkonam",NA,"Sri Krishna Polytechnic College, Tcr Complex, Tiruttani Road, Arakkonam-631003, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1995,NA,NA,NA,Affiliated,NA,923,69,NA,NA,https://www.careers360.com/colleges/sri-krishna-polytechnic-college-arakkonam
"Sri Krishna Polytechnic College, Dharmapuri",NA,"Sri Krishna Polytechnic College, R.Gobinathampatty Post, Harur Taluk, Dharmapuri, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,NA,NA,"1, Degrees and , ,4, Courses",NA,Affiliated,Co-ed,360,52,NA,NA,https://www.careers360.com/colleges/sri-krishna-polytechnic-college-dharmapuri
"Sri Krishna Institute of Technology, Chennai",NA,"Sri Krishna Institute of Technology, Navaneedam Nagar, Panapakkam, Near Padappai, Via-Tambaram, Chennai, Pincode 601301, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"1, Degrees and , ,4, Courses",NA,Affiliated,Co-ed,40,54,NA,"8, acres",https://www.careers360.com/colleges/sri-krishna-institute-of-technology-chennai
"Sri Krishna Polytechnic College, Coimbatore",NA,"Sri Krishna Polytechnic College, Kovaipudur, Coimbatore, Pincode 641042, Tamilnadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Government,1981,NA,"1, Degrees and , ,7, Courses",NA,Affiliated,NA,887,71,NA,"18, acres",https://www.careers360.com/colleges/sri-krishna-polytechnic-college-coimbatore
"Sri Durgadevi Polytechnic College, Thiruvallur",NA,"Sri Durgadevi Polytechnic College, R.S.M Nagar, Kavaraipettai, Pincode 601206, Gummidipoondi Taluk, Thiruvallur District, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1998,NA,"1, Degrees and , ,3, Courses",NA,Affiliated,Co-ed,759,30,NA,"6, acres",https://www.careers360.com/colleges/sri-durgadevi-polytechnic-college-thiruvallur
"Sri Krishna College of Technology, Coimbatore","Sri Krishna College of Technology was established in 1985 by Sri Krishna Institutions. The campus of the college spreads over an area of 52 acres of land. Sri Krishna College of Technology is accredited by National Assessment and Accreditation Council (NAAC) with grade A. The college is also accredited by the National Board of Accreditation (NBA), Indian Institute of Banking and Finance and National Cyber Safety and Security Standards.  SKCT Coimbatore is recognised by the University Grants Commission (UGC) and approved by the All India Council for Technical Education (AICTE). Sri Krishna College of Technology is affiliated to ,. The college has also secured 137th position in the NIRF ranking 2021 in the Engineering category as compared to 152nd rank in 2020 in the same category. ","Sri Krishna College of Technology, Kovaipudur, Coimbatore - 641042, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1985,TANCET,"4, Degrees and , ,22, Courses",NAAC,Autonomous,Co-ed,3806,265,Male 71% and Female 29%,"51, acres",https://www.careers360.com/colleges/sri-krishna-college-of-technology-coimbatore
"Sri Lakshmi Ammal Engineering College, Chennai",NA,"Sri Lakshmi Ammal Engineering College, Selaiyur Post, Kancheepuram District, Chennai, Pincode 600073, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2001,NA,"2, Degrees and , ,8, Courses",NA,Affiliated,NA,452,NA,NA,NA,https://www.careers360.com/colleges/sri-lakshmi-ammal-engineering-college-chennai
"Sri Mahalakshmi Polytechnic College, Cuddalore",NA,"Sri Mahalakshmi Polytechnic College, Cuddalore-Chidambaram Main Road, Vairankuppam, Cuddalore-607005, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2010,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,NA,824,53,NA,"5, acres",https://www.careers360.com/colleges/sri-mahalakshmi-polytechnic-college-cuddalore
"Sri Muthukumaran Institute of Technology, Chennai",NA,"Sri Muthukumaran Institute of Technology, Chikkarayapuram Near Mangadu, Chennai, Pincode 600069, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1996,NA,"5, Degrees and , ,21, Courses",NAAC,Affiliated,NA,429,172,NA,"10, acres",https://www.careers360.com/colleges/sri-muthukumaran-institute-of-technology-chennai
"Sri Moogambigai Polytechnic College, Dharmapuri",NA,"Sri Moogambiga Polytechnic College, Hosur Main Road, Madhampatti, Dhandukaranahalli Post, Palacode - 636808, Dharmapuri District, TamilNadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2009,NA,NA,NA,Affiliated,NA,632,59,NA,NA,https://www.careers360.com/colleges/sri-moogambigai-polytechnic-college-dharmapuri
"Sri Nallalaghu Nadar Polytechnic College, Chennai",NA,"Sri Nallalaghu Nadar Polytechnic College, GNT Road, Thandalkalani, Puzhal, Chennai, Pincode 600066, Tamilnadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1983,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,NA,1117,69,NA,"10, acres",https://www.careers360.com/colleges/sri-nallalaghu-nadar-polytechnic-college-chennai
"Sri Muthalamman Polytechnic College, Paramakudi",NA,"Sri Muthalamman Polytechnic College, Somanathapuram, Paramakudi, Ramanathapuram District, Pincode 623707, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1997,NA,"1, Degrees and, ,3, Courses",NA,Affiliated,NA,274,26,NA,"6, acres",https://www.careers360.com/colleges/sri-muthalamman-polytechnic-college-paramakudi
"Sri Nandhanam Polytechnic College, Tirupattur",NA,"Sri Nandhanam Polytechnic College, Molagarampatti, Tirupattur, District Vellore, Pincode 635602, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2009,NA,"1, Degrees and , ,4, Courses",NA,Affiliated,NA,82,53,NA,"5, acres",https://www.careers360.com/colleges/sri-nandhanam-polytechnic-college-tirupattur
"Sri Padmam Polytechnic College, Tirupattur",NA,"Sri Padmam Polytechnic College, No:441, Asiriyar Nagar, Pachal. Tirupattur, Pincode-635601, Vellore Dt, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2008,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,NA,371,44,NA,"5, acres",https://www.careers360.com/colleges/sri-padmam-polytechnic-college-tirupattur
"Sri Nandhanam College of Engineering and Technology, Vellore",NA,"Sri Nandhanam College of Engineering and Technology, Molagarampatti, Tirupattur Taluk, Vellore, Pincode 635602, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2001,NA,"4, Degrees and , ,11, Courses",NA,Affiliated,Co-ed,31,108,NA,"50, acres",https://www.careers360.com/colleges/sri-nandhanam-college-of-engineering-and-technology-vellore
"Sri Padmavathi College of Engineering, Kancheepuram",NA,"Sri Padmavathi College of Engineering Mevalur Kuppam, Valarpuram Post,Kancheepuram (District) - 602105.Above Campus 25Km From Chennai City","Anna University, Chennai",Tamil Nadu,Private,1995,NA,NA,NA,NA,Co-ed,NA,NA,NA,NA,https://www.careers360.com/colleges/sri-padmavathi-college-of-engineering-kancheepuram
"Sri Raaja Raajan College of Engineering and Technology, Sivaganga",NA,"Sri Raaja Raajan College of Engineering and Technology, AmaravathyPudur, Karaikudi, Pincode 630301, Sivaganga District, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2010,NA,"2, Degrees and , ,7, Courses",NA,Affiliated,NA,646,75,NA,"12, acres",https://www.careers360.com/colleges/sri-raaja-raajan-college-of-engineering-and-technology-sivaganga
"Sri Ramakrishna College of Engineering, Perambalur",NA,"Sri Ramakrishna College of Engineering, Sri Saradha Nagar, Perambalur, Pincode 621113, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2012,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,376,61,NA,"10, acres",https://www.careers360.com/colleges/sri-ramakrishna-college-of-engineering-perambalur
"Sri Rajiv Gandhi Polytechnic College, Erode",NA,"Sri Rajiv Gandhi Polytechnic College, Erode-Chennimalai Main Road, Myladi, Chennimalai, Erode, Pincode-638112, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2008,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,NA,102,81,NA,"5, acres",https://www.careers360.com/colleges/sri-rajiv-gandhi-polytechnic-college-erode
"Sri Ramachandra Polytechnic College, Vellore",NA,"Sri Ramachandra Polytechnic College, Dharmaneedhi Village, Ayarpadi Post, SH-126, Arakkonam-Ocheri Road, Nemili Taluk, Ranipet District, Tamil Nadu - 632531, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2008,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,390,54,NA,"8, acres",https://www.careers360.com/colleges/sri-ramachandra-polytechnic-college-vellore
"Sri Ramachandra Faculty of Engineering and Technology, Chennai",NA,"Sri Ramachandra Faculty of Engineering and Technology, Sri Ramachandra Institute of Higher Education and Research (Deemed to be University), No.1 Ramachandra Nagar Porur, Chennai - 600116, Tamil Nadu, India.","Sri Ramachandra Institute of Higher Education and Research, Chennai",Tamil Nadu,Private,2019,NA,"3, Degrees and , ,11, Courses",NA,NA,Co-ed,510,30,NA,NA,https://www.careers360.com/colleges/sri-ramachandra-faculty-of-engineering-and-technology-chennai
"Sri Ragavendra Polytechnic College, Tiruchengode",NA,"Sri Ragavendra Polytechnic College, New Pallipalayam Road, B.Komarapalayam, Pincode: 638183, Namakkal, Tamil Nadu,  India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1997,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,NA,663,61,NA,"7, acres",https://www.careers360.com/colleges/sri-ragavendra-polytechnic-college-tiruchengode
"Sri Ram Nallamani Yadava College of Arts and Science, Tenkasi",NA,"Sri Ram Nallamani Yadava College of Arts and Science, Nallamani Nagar, Kodikurichi, Tenkasi, Pincode 627804, Tamil Nadu, India","Manonmaniam Sundaranar University, Tirunelveli",Tamil Nadu,Private,1994,NA,"10, Degrees and, ,29, Courses",NA,Affiliated,NA,1536,86,NA,"150, acres",https://www.careers360.com/colleges/sri-ram-nallamani-yadava-college-of-arts-and-science-tenkasi
"Sri Ramakrishna Mission Vidyalaya College of Arts and Science, Coimbatore",NA,"Sri Ramakrishna Mission Vidyalaya College of Arts and Science, Ramakrishna Mission Vidyalaya, Periyanaickenpalayam, Post SRKV, Coimbatore, Tamil Naidu - 641020, India","Bharathiar University, Coimbatore",Tamil Nadu,Private,1964,TANCET,"11, Degrees and , ,51, Courses",NAAC,Affiliated,Co-ed,NA,126,NA,"13, acres",https://www.careers360.com/colleges/sri-ramakrishna-mission-vidyalaya-college-of-arts-and-science-coimbatore
"Sri Ramakrishna Engineering College, Coimbatore","The institute was established by SNR Sons Charitable Trust in 1994. Sri Ramakrishna Engineering College Coimbatore is also known as SREC Coimbatore. The institute has been approved by the All India Council for Technical Education. Sri Ramakrishna Engineering College Coimbatore is a private institution affiliated with ,. SREC Coimbatore has been accredited by the National Board of Accreditation and National Assessment and Accreditation Council. The institute has secured the 175th position in the engineering category in NIRF Ranking 2021. Candidates can read further to know more about Sri Ramakrishna Engineering College Coimbatore.","Sri Ramakrishna Engineering College, Vattamalaipalayam, N.G.G.O. Colony (Post) Coimbatore - 641022, Tamilnadu, India","Anna University, Chennai",Tamil Nadu,Private,1994,TANCET,"4, Degrees and , ,20, Courses",NAAC,Affiliated,Co-ed,4282,285,Male 70% and Female 30%,"42, acres",https://www.careers360.com/colleges/sri-ramakrishna-engineering-college-coimbatore
"Sri Ramana Maharishi College of Engineering, Tiruvannamalai",NA,"Sri Ramana Maharishi College of Engineering, Thumbai Village, Cheyyar Taluk, Tiruvannamalai District - 631701, Tamil Nadu","Anna University, Chennai",Tamil Nadu,Private,2010,NA,NA,NA,Affiliated,Co-ed,NA,61,NA,NA,https://www.careers360.com/colleges/sri-ramana-maharishi-college-of-engineering-tiruvannamalai
"Sri Ramakrishna Polytechnic College, Coimbatore",NA,"Sri Ramakrishna Polytechnic College, Vattamalaipalayam NGGO Colony-Post, Near Thudiyalur, Coimbatore, Pincode 641022, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1996,NA,"1, Degrees and , ,7, Courses",NA,Affiliated,NA,1337,61,NA,"30, acres",https://www.careers360.com/colleges/sri-ramakrishna-polytechnic-college-coimbatore
"Sri Ramakrishna Mission Vidyalaya, Coimbatore",NA,"Sri Ramakrishna Mission Vidyalaya, Periyanaickenpalayam, SRKV Post, Coimbatore – 641020, Tamil Nadu, India","Bharathiar University, Coimbatore",Tamil Nadu,Private,1930,NA,NA,NA,UGC,NA,2269,52,NA,"300, acres",https://www.careers360.com/colleges/sri-ramakrishna-mission-vidyalaya-coimbatore
"Sri Ramakrishna Mission Vidyalaya Polytechnic College, Coimbatore",NA,"Sri Ramakrishna Mission Vidyalaya Polytechnic College, Periyanaickenpalayam, SRKV Post, Coimbatore-641020, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1956,NA,"1, Degrees and, ,4, Courses",NA,Affiliated,NA,730,39,NA,"27, acres",https://www.careers360.com/colleges/sri-ramakrishna-mission-vidyalaya-polytechnic-college-coimbatore
"Sri Ramana Polytechnic College, Tirunelveli",NA,"Sri Ramana Polytechnic College, Moolakarapatti, Pincode 627354, District-Tirunelveli, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2009,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,NA,290,36,NA,"6, acres",https://www.careers360.com/colleges/sri-ramana-polytechnic-college-tirunelveli
"Sri Ramakrishna College of Arts and Science, Coimbatore",NA,"SNR Sons College, Nava India Bus Stop, Between Fun Mall & Lakshmi Mills, Avinashi Road, Coimbatore - 641006, Tamilnadu, India","Bharathiar University, Coimbatore",Tamil Nadu,Private,1987,TANCET,"12, Degrees and , ,69, Courses",NAAC,Autonomous,Co-ed,4501,196,Male 65% and Female 35%,"16, acres",https://www.careers360.com/colleges/sri-ramakrishna-college-of-arts-and-science-coimbatore
