exam_name,about,full_exam_name,short_exam_name,conducting_body,freq_of_conduct,exam_level,languages,mode_of_application,application_fee,mode_of_exam,mode_of_counselling,exam_duration,number_of_seats,education,age,website_link,exam_pattern
DJSE Exam," The High Court of Delhi conducts Delhi Judicial services exam. Since this is a vacancy-based exam, it is not mandatorily held every year. Delhi High Court invites online applications from eligible candidates for filling up vacancies in Delhi Judicial Service by holding Delhi Judicial Service Examination in two stages including Delhi Judicial Service Preliminary Examination, and Delhi Judicial Service Main Examination.  Candidates shortlisted in the main exam will be called for viva voce. Candidates who will qualify the last phase will be selected for the posts offered by the High Court of Delhi. ",Delhi Judicial Services Exam,DJSE,High Court of Delhi,Vacancy Based,NA,English,Online,1000 Rs ,Offline,Offline,2 Hours 30 Minutes,45 Seats,NA,NA,NA,"Admit Card for Delhi Judicial Service Exam 2022of the eligible candidates will be uploaded on the Delhi High Court website. The court does not send the admit card in offline mode to any candidate. Candidates have to download their admit card from the website using application number and should take the print-out of the valid photo Delhi Judicial Service Exam admit card 2022 for the exam. It is imperative to carry the admit card of Delhi Judicial Services on the exam day.,Selected candidates shall be issued admit card for the mains examination in online mode. Candidates can download the admit card by entering the required credentials in the login window."
OSSTET Exam,"The OSSTET application form 2022 has been released by the Board of Secondary Education, Odisha on November 14. Last date to fill the OSSTET application form 2022 is  November 23. Candidates must check the OSSTET 2022 eligibility criteria before filling the application form. ",Odisha Secondary School Teacher Eligibility Test,OSSTET,Board of Secondary Education Odisha,Vacancy Based,NA,English,Online,600 Rs ,NA,NA,NA,NA,NA,NA,NA,"The admit card of OSSTET 2022 will be released by the exam conduction body in online mode on the official website. Candidates who have successfully completed the application procedure will only be able to download their admit card.,OSSTET 2022 admit card will likely have details like name, time and date of examination, address of the examination centre and roll number. All the candidates are advised to take any one photo identity card along with the OSSTET admit card 2022.,Candidates can download their admit card from the official website by logging in and entering required credentials in the login window. In case of discrepancies/mistakes in the admit card, candidates must get in touch with the exam conducting authorities and get it corrected."
TNPSC CESE Exam," Tamil Nadu Public Service Commission (TNPSC) has released the application form online on April 4 on the official website - tnpsc.gov.in. The TNPSC 2022 notification has also been released on April 4. TNPSC conducts the Combined Engineering Service exam (CESE) for the direct recruitment of Assistant Engineers (Civil & Electrical). TNPSC CESE exam consists of two successive stages i.e. Written Exam and Oral Test in the form of an interview. TNPSC CESE 2022 written exam is conducted in the offline mode across 15 cities. Based on the result of the written exam, candidates will be shortlisted for the Oral Test (Interview). Applications are invited only through online mode for the posts included in the TN CESE examination. Applicants should ensure their eligibility for TNPSC CESE Exam 2022 before applying.",Tamil Nadu Public Service Commission Combined Engineering Services Exam,TNPSC CESE,Tamil Nadu Public Service Commission,Vacancy Based,NA,"English, Tamil",Offline / Online,200 Rs ,Offline,NA,2 Hours,626 Seats,NA,NA,NA,"TNPSC CESE 2022 exam includes Paper-1, Paper-2, and Interview & Records. The examination will be conducted in offline mode only. The questions in Paper-1 for Electrical Engineering and Electronics & Communication Engineering will be set in English only. However, the questions in Paper-I for Civil Engineering will be set in both Tamil and English.,The questions in TNPSC CESE 2022 Paper-2 (General Studies) will be available both in Tamil and English and the examination will be offline mode. Candidates need to go through the syllabus to get a clear idea about the TNPSC CESE 2022 exam pattern for Paper-2."
RPSC College Lecturer Exam,"Rajasthan Public Service Commission (RPSC) conducts RPSC College Lecturer exam in offline mode. Candidates between 21 to 35 years of age who hold a Master’s Degree with not less than 55% marks can fill the application form of RPSC College Lecturer. The recruitment of College Lecturers will be done by the process of Interview but if the application received by the conducting authority is more, then an offline aptitude test will also be conducted before the Interview. All those candidates who qualify in the aptitude test will further be called for the interview. Candidates who qualify in the interview round will be shortlisted for the final recruitment.",Rajasthan Public Service Commission College Lecturer Exam,RPSC College Lecturer,Rajasthan Public Service Commission,Vacancy Based,NA,NA,Online,350 Rs ,Offline,Offline,NA,NA,NA,NA,NA,NA
RPSC School Lecturer Exam,"Rajasthan Public Service Commission (RPSC) conducts the RPSC School Lecturer recruitment exam. Candidates who have completed their post-graduation degree and also have a B.Ed degree could apply for RPSC School Lecturer in online mode. All the eligible candidates, who have successfully submitted the application form will have to appear for the written exam. There will two papers- paper I and II, conducted for 150 and 300 marks respectively. All those candidates who will qualify the written test will be eligible for the appointment of RPSC School Lecturer.",Rajasthan Public Service Commission School Lecturer Exam,RPSC School Lecturer,Rajasthan Public Service Commission,Vacancy Based,NA,NA,Online,NA,Offline,NA,NA,5000 Seats,NA,NA,NA,"The admit card of RPSC School Lecturer is released in online mode for those candidates who have successfully submitted their application form. Candidates can download their admit card by entering the required login credentials in the login window. The admit card will have details like name, roll number of the candidate, name and address of the exam centre and timing of the exam."
APSET Exam,"Andhra University conducts APSET (Andhra Pradesh State Eligibility Test) for the appointment of Assistant Professors/Lecturers in Andhra Pradesh. Candidates who hold a Master’s Degree with at least 55% marks can apply for APSET. The exam of APSET will be conducted for 31 subjects out of which candidates must select one subject of their choice in order to appear for the exam. APSET exam is conducted for two papers – paper I and II. Paper I is the general paper of 100 marks whereas paper II will contain questions from the subject opted by the candidates. Paper II will carry 200 marks. All those candidates who will obtain the qualifying marks decided by examination authority will qualify APSET. In order to qualify APSET, candidates belonging to general category must score 40% in aggregate whereas reserved category candidates must score 35% marks. The APSET 2021 registration begun from August 11, 2021.",Andhra Pradesh State Eligibility Test,APSET,Andhra University,Once a year,NA,"English, Telugu",Online,1200 Rs ,Offline,NA,NA,NA,NA,NA,NA,"The APSET admit card will be released by Andhra University for all candidates who have successfully filled the application form. It is important for the candidates to carry their respective APSET admit card to the exam centre on the day of examination. In order to download the admit card of APSET, candidates must use their application number, password and security key. Candidates must check that all the information mentioned on the admit card of APSET. A print out must be taken in order to produce it during the day of the exam. Along with APSET admit card, candidates must also carry one of their prescribed photo ID proof – aadhaar card, PAN card, driving license, passport, and voters ID proof.,Particulars mentioned on APSET Admit Card"
NIACL Assistant Exam," The prelims exam of NIACL Assistant contains questions from three sections - English language, Reasoning, and Numerical ability. Candidates are given 1 hour to complete 100 questions of 1 mark each. Candidates must qualify in each of the three sections and in overall in order to appear for the mains exam. Candidates who qualify in the mains exam will have to undergo a regional language test which is of qualifying nature. Candidates who qualify in the regional language test will be shortlisted for the final recruitment.",The New India Assurance Company Limited Assistant Exam,NIACL Assistant,The New India Assurance Company Limited,Vacancy Based,NA,"English, Hindi",Online,600 Rs ,Online,NA,NA,312 Seats,NA,NA,NA,NA
OPSC Judicial Services Exam Exam,"The Odisha Public Service Commission, better known as OPSC conducts the Judicial Services Examination. Commission has released the notification for the exam in online mode. Candidates can fill the application form of OSPC judicial services from February 17 to March 17, 2023. There are a total of 57 vacancies while 18 vacancies are reserved for women only. OPSC Judicial Examination is held in three parts consisting of preliminary written exam, main written exam followed by the final interview round. Preliminary examination of OPSC will be conducted in offline mode.",Odisha Public Service Commission Judicial Services Exam,OPSC Judicial Services Exam,Odisha Public Service Commission,NA,NA,English,Offline / Online,500 Rs ,NA,NA,NA,75 Seats,NA,NA,http://www.opsc.gov.in/,"Odisha Judicial Services Examination Admit Card 2022 – Preliminary Exam Call Letter will be issued by Odisha Public Service Commission (OPSC). It is issued to candidates who successfully registered for the exam by filling the application form of OPSC Judicial Services. The admit card of preliminary exam is also referred to as admission certificate and will be uploaded on the website of the Commission.,Candidates must download their admission certificate along with ""Instructions to candidates"" from the website of OPSC and produce the same before the Centre Supervisor/Invigilator for admission to the examination hall. No candidate will be admitted to the examination hall without the possession of admit card of OPSC Judicial Services 2022.,Odisha Judicial Services Examination Admit Card 2022 – Mains Exam Call Letter will be issued by Odisha Public Service Commission (OPSC). It will be issued to the candidates who appeared for the preliminary exam of OPSC Judicial Services. The admit card of mains is also referred to as admission certificate and will be uploaded on the website of the Commission. Candidates must download their admission certificate and produce the same before the Centre Supervisor/Invigilator for admission to the examination hall.,No candidate will be allowed to write the mains without the possession of admit card of OPSC Judicial Services Mains 2022. The candidates are required to download their admission certificate/intimation letter from the official website of OPSC. Admit card of OPSC Judicial Mains 2022 will contain details like candidate’s name, exam venue, test date, name of the papers amongst other details."
TNTET Exam," Teachers Recruitment Board, Chennai has extended the last date to submit the TNTET application form 2022 on the official website - trb.tn.nic.in. Candidates can fill the TNTET 2022 application form till April 26. While filling the TNTET application form 2022, candidates must check whether they are eligible to apply or not, in order to avoid rejection at any later stage. ",Tamil Nadu Teacher Eligibility Test,TNTET,Teachers Recruitment Board Tamil Nadu,NA,NA,"English, Tamil",Online,500 Rs ,Offline,NA,NA,NA,NA,NA,https://trb.tn.nic.in/,"Teachers Recruitment Board releases TNTET admit card in online  mode. Candidates can download their admit card from the official website by entering their registration/roll number and date of birth/password. TNTET admit card contains  details such as name, venue of the exam, the timing of the exam, photograph etc. Also, candidates must carry at least one photo ID along with the admit card of TNTET."
GSET Exam,"The Maharaja Sayajirao University of Baroda, Vadodara will release the GSET application form 2022 on August 29, 2022 in online mode at its official website. The Last date to submit the GSET form 2022 is September 28. Candidates who meet the GSET 2022 eligibility criteria can fill the GSET application form 2022. The GSET 2022 exam is scheduled to be held on November 6, 2022 (tentative). Commission conducts Gujarat State Eligibility Test (GSET) for determining the eligibility of Gujarat state’s candidates for Assistant Professor in universities and colleges of Gujarat State. GSET is conducted in 23 subjects at 11 Centres spread across Gujarat state. ",Gujarat State Eligibility Test,GSET,The Maharaja Sayajirao University of Baroda,Vacancy Based,NA,"English, Gujarati",Online,900 Rs ,Offline,NA,3 Hours,NA,NA,NA,https://www.gujaratset.ac.in/,"Paper I of GSET 2022 will be of 1 hour duration i.e 9:30 to 10:30 am. The question paper will have 50 compulsory questions for a maximum score of 100. The questions will be of general nature, intended to assess the teaching/research aptitude of the candidate. It will primarily be designed to test reasoning ability, comprehension, divergent thinking and general awareness of the candidate. There are no negative marks for incorrect answers and there will be no provision of re-evaluation of paper. The questions will be objective in nature.,Paper II of GSET 2022 exam pattern states that there will be a total of 100 compulsory questions for a total of 200 marks. Candidates will get 2 hours for solving paper 2 (11am to 1pm). Here too, the questions will be objective in nature with no negative marking. Also, there will be no provision of re-evaluation."
CIMFR Assistant Grade 3 Exam,"CSIR-Central Institute of Mining & Fuel Research is a premier research laboratory, under the Council of Scientific and Industrial Research (CSIR), an Autonomous Body under Ministry of Science & Technology,",Central Institute of Mining & Fuel Research Assistant Grade 3 Exam,CIMFR Assistant Grade 3,Council of Scientific and Industrial Research - Central Institute of Mining and Fuel Research,Vacancy Based,NA,"English, Hindi",Offline,500 Rs ,Offline,NA,2 Hours 30 Minutes,NA,NA,NA,NA,"The result of Common written test will mention the names of candidates who achieve the cut off marks set by the CSIR-Central Institute of Mining and Fuel Research. These candidates will be required to appear for the Typing test.,After the conduct of Typing test, CIMR will release the final merit list of the candidates selected for various positions as Grade III officers."
UPPCL JE Exam,"Uttar Pradesh Power Corporation Limited Junior Engineer (UPPCL JE) exam is conducted by Electricity Service Commission, UP Power Corporation Limited for the recruitment of Junior Engineers in Electrical Engineering stream at Uttar Pradesh Power Corporation Limited (UPPCL) and Uttar Pradesh Power Transmission Corporation Limited (UPPTCL). Candidates between the age of 18 and 40, with a 3-year diploma in Electrical Engineering, are eligible to apply for the computer-based test (CBT). Candidates must have passed high school or equivalent with Hindi as a language or else they have to clear an exam conducted by Registrar, Department Examination, Govt. of UP within 3 years of joining. Selection will be done on the basis of merit list prepared based on the marks of candidates in the CBT. Only candidates, who are able to secure at least 30% marks in UPPCL JE are considered for the further stage of the recruitment – document verification.",Uttar Pradesh Power Corporation Limited Junior Engineer Exam,UPPCL JE,Uttar Pradesh Power Corporation Limited,Vacancy based,NA,"English, Hindi",Online,1180 Rs ,Online,Online / Offline,3 Hours,296 Seats,NA,NA,NA,"UPPCL JE exam will be held in online mode (Computer Based Test) with 200 questions in total. Candidates have to complete the test in 3 hours. 150 questions will be from Diploma level engineering, 20 questions from General Knowledge/Awareness, 20 from reasoning and 10 from Hindi. Each correct answer will get 1 mark, while each incorrect answer will fetch -0.25 marks."
TS TET Exam," Department of School Education, Government of Telangana has released the TS TET 2022 OMR sheet online on July 14  on the official website at tstet.cgg.gov.in. The exam authorities has declared the TS TET result 2022 on July 1, 2022 in online mode. The exam authorities has released the TS TET final answer key 2022 on June 29 on the official website at tstet.cgg.gov.in.",Telangana State Teacher Eligibility Test,TS TET,Department of School Education Telangana,NA,NA,"Bengali, English ",Online,300 Rs ,Offline,Offline,NA,NA,NA,NA,NA,"Department of School Education, Government of Telangana has released the admit card of TS TET 2022 in the online mode on the official website. Candidates can download TS TET admit card 2022 using candidate ID and date of birth. The admit card of TS TET contains information including name, photograph and signature of candidate, roll number, category, date, time and venue of examination, exam day guidelines, etc. On the day of exam, candidates must carry a copy of the admit card to the exam hall failing which they will not be allowed to appear in the exam. The procedure to download TS TET admit card has been provided below."
ASRB NET Exam,"Agricultural Scientists Recruitment Board (ASRB) conducts a combined ASRB NET exam for determining the eligibility for the post of Assistant Professor/Lecturer in the State Agricultural Universities (SAUs) and Agricultural Universities (AUs). Before applying for ASRB NET, candidates must fulfill the eligibility criteria as prescribed by the authority. To appear in ASRB NET candidates must have a master’s degree in any discipline with specialization from any institute recognized by the government of India. The exam is held in an online Computer Based Test across 26 states in India. Selection in NET will be based on the marks scored in the online test and securing the minimum qualifying marks as prescribed by ASRB. Candidates who will clear the entrance tests are issued a NET certificate to apply for the vacancies available in State Agricultural Universities/Agricultural Universities.",Agricultural Scientists Recruitment Board National Eligibility Test,ASRB NET,Agricultural Scientists Recruitment Board,Once a year,NA,"English, Hindi",Online,1000 Rs ,Online,Online,2 Hours,NA,NA,NA,NA,"The ASRB NET admit card will be available in online mode. Only those candidates who will successfully submit the application form will be able to download ASRB NET admit card, by entering with their roll number and date of birth in the login window. The ASRB NET admit card will be made available 10 to 15 days prior to the completion of the exam. No hard copy of the admit card will be sent to the candidates by post. Before downloading the ASRB NET admit card, candidates should read the instructions carefully.,The steps to download the admit card of ASRB NET has been explained below:"
AP TET Exam," Department of School Education, Andhra Pradesh declared the AP TET 2022 result online on September 30 on the official website aptet.apcfss.in. DSE AP released the provisional AP TET answer key 2022 on August 31, 2022. Candidates could raise objections against the AP TET 2022 answer key from September 1 to 7, 2022.",Andhra Pradesh Teacher Eligibility Test,AP TET,Department of School Education Andhra Pradesh,Once a year,NA,English,Online,500 Rs ,Online,NA,NA,NA,NA,NA,NA,"The APTET 2022 admit card has been issued in online mode on July 27 on the official website. Candidates who have successfully submitted the application form can download their AP TET admit card 2022.,The APTET 2022 admit card contains details such as name, roll number, date of birth, the name of the paper applied for, the timing of the exam, the address of the exam centre and instructions to be followed on exam day.,Candidates can access their admit card by entering their roll number and password/date of birth in the login window. Along with the admit card of APTET 2022, candidates are also required to carry one photo ID card. In order to download the admit card of APTET 2022."
NPCIL Rawatbhata Recruitment Exam,Nuclear Power Corporation of India Limited (NPCIL) conducts NPCIL Rawatbhata Recruitment for Paramedical and Non-Technical Posts every year. The selects are done through a Preliminary Test of 1 hour and an Advanced Test of 2 hours. The Preliminary test is conducted to shortlist the candidates for the Advanced test. ,Nuclear Power Corporation of India Limited Rawatbhata Recruitment,NPCIL Rawatbhata Recruitment,Nuclear Power Corporation of India Limited,Once a year,NA,English,Online,NA,Offline,Offline,3 Hours,NA,NA,NA,NA,NA
PGCIL Executive Trainee Finance Exam,POWERGRID & POSCO will conduct PGCIL Executive Trainee Finance recruitment exam for 47 posts. Candidates who wish to apply for  PGCIL Executive Trainee Finance recruitment must have passed CA/ICWA (CMA) and should have completed 28 years of age. Registered candidates have to appear in a test followed by an Interview. The question paper of PGCIL Executive Trainee Finance exam will have two sections - Professional Knowledge Test (PKT) and Executive Aptitude Test (EAT) carrying 120 and 50 questions respectively. The selection of candidates for Executive Trainee Finance post will be on the basis of their performance in test and qualifying in the interview. Selected candidates appointed as PGCIL Executive Trainee (Finance) have to be medically fit for the post. ,Power Grid Corporation of India Limited Executive Trainee Finance Exam,PGCIL Executive Trainee Finance,Power Grid Corporation of India Limited,NA,NA,English,Online,500 Rs ,Offline,NA,NA,NA,NA,NA,https://www.powergrid.in/,The admit card of PGCIL Executive Trainee Finance will be available online. Admit card will be issued to only those candidates who application forms are accepted. Candidates must enter their login credentials to download PGCIL Executive Trainee admit card.
APSC CCE Exam,"Assam Public Service Commission (APSC) conducts Combined Competitive Examination (CCE) for recruitment to various posts or services like Assam Civil Service (Junior Grade), Assam Land and Revenue Service (Junior Grade), Assam Police Service (Jr.Grade), Labour Inspector, Superintendent of Excise, Inspector of Taxes, Inspector of Excise etc. APSC selection process involves two stages – Preliminary and Mains examination. Further, the mains examination is divided into two parts – written exam and interview.",Assam Public Service Commission Combined Competitive Exam,APSC CCE,Assam Public Service Commission,Once a year,NA,NA,Offline,250 Rs ,Offline,Offline,NA,331 Seats,NA,NA,http://apsc.nic.in/,"APSC admit card of the preliminary exam is issued to all candidates who will register for the exam within the prescribed dates of application.,APSC admit card for mains exam is issued to candidates selected based on their performance in the preliminary exam."
AIC of INDIA AO Recruitment Exam,"AIC of India AO Recruitment is conducted by Agriculture Insurance Company of India Limited to select candidates for the post of Administrative Officers (AO) Scale I in various disciplines like Agriculture Sciences, Information Technology, Finance, Legal, Statistics, Marketing and Generalist. To be eligible for AIC of India AO recruitment 2019, candidates must be a graduate in any discipline. Selection of candidates for the post of AO will be done on the basis of their performance in online examination and interview.",Agriculture Insurance Company of India Limited Administrative Officer Recruitment,AIC of INDIA AO Recruitment,Agriculture Insurance Company of India Limited,NA,NA,NA,Online,650 Rs ,Online and Offline,NA,2 Hours 30 Minutes,NA,NA,NA,NA,NA
RPSC RAS Exam," Rajasthan High Court has released the RPSC RAS 2021 admit card for mains exam on March 13, 2022 in online mode on the official website - rpsc.rajasthan.gov.in. The RPSC RAS 2021 mains exam is rescheduled to be conducted on March 20 & 21, 2022. ",Rajasthan Public Service Commission Administrative Services Exam,RPSC RAS,Rajasthan Public Service Commission,Once a year,NA,"English, Hindi",Online,350 Rs ,Offline,Offline,NA,988 Seats,NA,NA,NA,NA
REET Exam," The Board of Secondary Education, Rajasthan declared the REET result 2022 online on September 29 on the official website - reetbser2022.in. The authorities deactivated the REET answer key 2022 objection window link on August 25 (12 PM). The provisional REET 2022 answer key has been released on August 18. BSER, Rajasthan has released the REET question paper 2022 on the official website. RBSE conducted the REET 2022 exam on July 23 and 24 in two shifts.",Rajasthan Eligibility Exam for Teachers,REET,"Board of Secondary Education, Rajasthan",Once a year,NA,"English, Hindi",Online,NA,NA,NA,NA,NA,NA,NA,NA,For REET paper I total marks allotted is 150 without any negative marking and candidates have to complete their paper within 2 hours and 30 minutes and the question will be of multiple choice questions.
UPMRC Recruitment Exam," The Uttar Pradesh Metro Rail Corporation Limited will release the online notification of UPMRC recruitment 2022 on November 1, 2022 for several posts in Executive categories as Assistant Manager - Civil, Electrical, S&T, Accounts, HR, Public Relations, and in Non-Executive Categories as Junior Engineer - Civil, ",Uttar Pradesh Metro Rail Corporation Recruitment Exam,UPMRC Recruitment,Uttar Pradesh Metro Rail Corporation,Once a year,NA,"English, Hindi",Offline / Online,590 Rs ,Online,NA,2 Hours,NA,NA,NA,NA,"The UPMRC Executive & Non-Executive admit card will be available to download on the official website. Candidates must carry their UPMRC recruitment for Executive & Non-Executive posts admit card to the exam hall as well as for the document verification process.,Candidates must keep in mind that the admit card of UPMRC Executive & Non-Executive will be released in online mode only. UPMRC has no provision for sending the admit cards by post or any other mode."
TSLPRB Recruitment Exam,"TSLPRB recruitment 2022 - Telangana State Level Police Recruitment Board has released the TSLPRB 2022 application form online on May 2 on the official website. Candidates can apply for TSLPRB 2022 recruitment till May 26. Telangana State Level Police Recruitment Board conducts TSLPRB recruitment exam for various posts like Stipendiary Cadet Trainee (SCT) Police Constable (Civil) in Police Department, Warders in Prisons & Correctional Services Department etc. All the interested candidates can apply in online mode. However, before applying for TSLPRB Recruitment 2022, candidates must check the eligibility in order to avoid rejection at any later stage. ",Telangana State Level Police Recruitment Board Recruitment,TSLPRB Recruitment,Telangana State Level Police Recruitment Board,NA,NA,"English, Telugu ",Online,800 Rs ,Offline,NA,3 Hours,NA,NA,NA,NA,"Telangana State Level Police Recruitment Board will publish the admit card of TSLPRB Recruitment 2022 in online mode for all the phases of examination. Candidates can download the admit card by entering their login credentials on the official website. The TSLPRB recruitment admit card 2022 will contain details like name of the candidate, address of the exam venue, time and date of the exam. Candidates who will qualify the Preliminary Written Test can only download the TSLPRB admit card for PMT (Physical Measurement Test)/Physical Efficiency Test (PET)."
NPCC Assistant Engineer Recruitment Exam,"National Projects Construction Corporation Limited will conduct the NPCC Assistant Engineer Recruitment exam for the candidates who wish to join NPCC. To be eligible for NPCC Assistant Engineer Recruitment, candidates must be of 28 years of age and must have a diploma in civil engineering (3 years) from UGC/AICTE recognized universities. Candidates who are eligible and have successfully submitted the application form will have to appear for a written exam. Those who will qualify NPCC Assistant Engineer Recruitment 2019 exam will be recruited to the post of Assistant Engineer.",National Projects Construction Corporation Limited Assistant Engineer Recruitment,NPCC Assistant Engineer Recruitment,National Projects Construction Corporation Limited,NA,NA,"English, Hindi",Online,1000 Rs ,NA,NA,2 Hours,NA,NA,NA,NA,NA
Haryana Civil Services Exam,"The Haryana Civil Services has issued HPCS admit card 2021-22 for prelims re-exam on July 15, 2022. The  HPCS 2021-22 prelims exam will be held on July 24 in offline mode.",Haryana Civil Services Exam,Haryana Civil Services,Haryana Public Service Commission,NA,NA,"English, Hindi",Online,1000 Rs ,Offline,NA,NA, : 166 Seats ,NA,NA,NA,NA
Assam Police Constable Exam,"Assam police constable exam is conducted through recruitment rallies for the recruitment of constables under armed and unarmed forces of Assam Police. It will be notified here when window for online applications will be open. There will no fees for the application. No request offline will be entertained. The candidates must check the eligibility conditions before applying for the exam. Candidates are first scrutinised based on Physical Standard test (PST). It does not hold any marks. The final selection is based on the marks scored in Physical Efficiency Test (PET), Written test and Extracurricular activities or skills. The time date and venue for PST/PET and written exam will be intimated to the candidates by mail, SMS or updated on the website of Assam Police.",Assam Police Constable Exam,Assam Police Constable,Assam Police,NA,NA,NA,Online,NA,Offline,NA,NA,5494 Seats,NA,NA,NA,NA
Rajasthan Police Constable Exam,"The Office of Director General Police, Jaipur, Rajasthan has released notification to fill 4438 vacancies of Rajasthan Police Constable for the posts of General Constable, Constable Driver. The online application was closed on December 2, 2021. The exam of Rajasthan Police Constable 2021 is conducted for various stages of  - written test followed by physical efficiency test, and efficiency test. The commission may conduct the written exam in February/March 2022. After all the stages, a final merit list is prepared based on the marks of the candidates and the shortlisted candidates are recruited to the various posts offered by Rajasthan Police Constable.",Rajasthan Police Constable Exam,Rajasthan Police Constable,Rajasthan Police,Once a year,NA,"English, Hindi",Online,500 Rs ,Offline,NA,2 Hours,4438 Seats,NA,NA,http://www.police.rajasthan.gov.in,"The admit card of Rajasthan Police Constable 2021 will be available in online mode on the official website. Candidates can download their admit card by entering their SSO ID and password in the login window. Also, no admit card will be sent in any offline mode. Candidates are advised to carry one photo identity card - Voter ID Card, Aadhaar Card, Driving License and bank passbook. Rajasthan Police Constable admit card will contain details like name, registration number, age, photograph and signature, venue of exam and timing of the exam."
Manipur CSCCE Exam," Manipur Public Service Commission (MPSC) released notification for Manipur Civil Services Combined Competitive Examination 2022 on December 7. Manipur CSCEE 2022 application form will be available form December 15, 2022 to January 31, 2023. As many as 100 vacancies will be filled through this examination. According to the eligibility criteria, any graduate candidates between 21 to 38 years can apply for the exam. ",Manipur Civil Services Combined Competitive Exam,Manipur CSCCE,Manipur Public Service Commission,Once a year,NA,English,Online,600 Rs ,Offline,Offline,NA,100 Seats,NA,NA,NA,"Manipur Civil Services Combined Competitive exam admit card is available online for candidates who have successfully submitted the application form. To download the Manipur PSC Civil Services admit card, candidates have to select the post, enter name and date of birth.,The admit card carries information regarding candidates as well exam. Candidates need to carry their Manipur Civil Services Combined Competitive exam admit card to the examination centre along with one photo identity proof.,Manipur Civil Services admit card for mains exam will be issued to candidates who will qualify the preliminary exam. The admit card will be issued in online mode. Candidates qualifying the mains exam will be issued Manipur Civil Services Combined Competitive admit card for Interview."
TSPSC Group 2 Exam," Telangana State Public Service Commission (TSPSC) will conduct TSPSC Group 2 in the State of Telangana to recruit candidates for posts including Municipal Commissioner, Assistant Commercial Tax Officer, Sub-Registrar, etc. ",Telangana State Public Service Commission Group 2 Exam,TSPSC Group 2,Telangana State Public Service Commission,NA,NA,"English, Telugu ",Online,220 Rs ,Offline,Offline,10 Hours,783 Seats,NA,NA,NA,"TSPSC Group 2 admit card will be issued by Telangana State Public Service Commission in the online mode. TSPSC will provide the admit card separately for each stage of the exam – written exam and Interview. Candidates who have successfully filled the application form and qualifies all mandatory post-wise eligibility criteria required for the exam will be issued admit card for the written exam.,On the basis of marks secured in the written exam, candidates will be shortlisted to appear for TSPSC Group 2 Interview and admit cards will be released for the same. The Commission will release the admit card of TSPSC Group 2 seven days prior to the conduct of each exam stage. Candidates will be able to download TSPSC Group 2 admit card with their registration ID and date of birth."
Tripura TET Exam,"Tripura Teachers’ Eligibility Test or T-TET is conducted for candidates who are interested to teach in Class I to V and Class VI to VIII, respectively. The conducting authority released the T-TET notification 2022 on November 5, 2022. The application form can be submitted from November 14 to 22, 2022. Tripura Teacher Eligibility Test is conducted by Teachers Recruitment Board, Tripura (TRBT). The test is conducted in two papers – I and II. Paper I is for candidates who wish to be a teacher for Class I to V. Paper II is for candidates who wants to teach in Class VI to VIII. Candidates securing qualifying marks in the exam will be declared qualified in Tripura TET. The qualifying marks are 90 for General Category while it is 83 for SC/ST/PH candidates. Candidates who secure the passing marks will be called for certificate verification. The Tripura TET certificate is valid for a period of seven years from the date of issue of the same.",Tripura Teacher Eligibility Test,Tripura TET,Teachers' Recruitment Board Tripura,Once a year,NA,"Bengali, English",Online,300 Rs ,Offline,Offline,NA,NA,NA,NA,https://trb.tripura.gov.in/,NA
BPSC Civil Services Exam," Bihar Public Service Commission has announced the BPSC 67th registration dates for mains exam on November 18 on the official website. BPSC 67th 2022 application form for mains will be available from November 21 to December 6. BPSC 67th mains exam will be conducted on December 29, 2022 tentatively.",Bihar Public Service Commission Combined Competitive Exam,BPSC Civil Services,Bihar Public Service Commission,NA,NA,NA,Online,600 Rs ,Offline,Offline,NA,794 Seats,NA,NA,NA,"The BPSC 67th admit card 2022 for the prelims exam has been issued on September 20 on the official BPSC website - onlinebpsc.bihar.gov.in.  Candidates who filled the application form successfully will be able to download the admit card. BPSC Civil Services admit card mentions candidate name, personal details, exam details, exam day instructions, etc.,Applicants also need to bring one valid photo ID proof along with the admit card on exam day. In case of any discrepancy in admit card of BPSC, candidates must contact the exam conducting authorities atleast once week before the commencement of the exam.,BPSC Civil Services admit card 2022 for mains exam is issued to candidates who qualify the preliminary exam by securing the qualifying as well as overall cut off prescribed by the commission and also had filled the mains application form within the allotted time frame."
